"row ID","Default","Loan","Mortgage","Value","YOJ","Derogatories","Delinquencies","CLAGE","Inquiries","CLNO","DEBTINC","BIN_Reason","BIN_Job"
"R4","0",1700,97800.0,112000.0,3.0,0,0,93.3333333333,0,14,33.779915348719925,"HomeImp","Office"
"R5","1",1700,30548.0,40320.0,9.0,0,0,101.466001911,1,8,37.1136135584,"HomeImp","Other"
"R7","1",1800,28502.0,43034.0,11.0,0,0,88.7660298789,0,8,36.8848940929,"HomeImp","Other"
"R8","1",2000,32700.0,46740.0,3.0,0,2,216.933333333,1,12,33.779915348719925,"HomeImp","Other"
"R9","1",2000,73760.81719955898,62250.0,16.0,0,0,115.8,0,13,33.779915348719925,"HomeImp","Sales"
"R10","1",2000,22608.0,101776.04874145007,18.0,0,0,179.76627518658208,1,21,33.779915348719925,"DebtCon","Other"
"R12","1",2000,45000.0,55000.0,3.0,0,0,86.0666666667,2,25,33.779915348719925,"HomeImp","Other"
"R15","1",2200,24280.0,34687.0,8.922268135904508,0,1,300.866666667,0,8,33.779915348719925,"HomeImp","Other"
"R23","1",2400,18000.0,101776.04874145007,22.0,0,2,121.733333333,0,10,33.779915348719925,"HomeImp","Mgr"
"R27","1",2500,15000.0,20200.0,18.0,0,0,136.066666667,1,19,33.779915348719925,"HomeImp","Other"
"R29","0",2500,7229.0,44516.0,8.922268135904508,0,0,208.0,0,12,33.779915348719925,"HomeImp","Self"
"R31","1",2800,50795.0,63100.0,26.0,2,15,145.633333333,3,45,33.779915348719925,"HomeImp","Self"
"R46","1",3000,47000.0,82700.0,10.0,0,1,262.166666667,5,26,33.779915348719925,"HomeImp","ProfExe"
"R47","1",3000,34542.0,45900.0,8.5,0,2,62.3666666667,0,10,33.779915348719925,"HomeImp","Mgr"
"R49","0",3000,47000.0,56400.0,21.0,0,0,201.866666667,0,20,33.779915348719925,"HomeImp","Office"
"R50","1",3100,39589.0,36100.0,1.5,0,0,153.166666667,1,14,33.779915348719925,"HomeImp","Other"
"R53","1",3200,48603.0,61000.0,28.0,0,4,122.033333333,1,25,33.779915348719925,"HomeImp","ProfExe"
"R56","0",3200,74864.0,87266.0,7.0,0,0,250.631269224,0,12,42.909997351,"HomeImp","ProfExe"
"R58","1",3300,126541.0,134527.0,9.0,1,0,139.0,0,36,33.779915348719925,"HomeImp","Sales"
"R60","1",3400,37000.0,52000.0,2.0,0,1,183.299915612,0,6,33.779915348719925,"HomeImp","Office"
"R61","1",3500,23200.0,38666.0,11.0,0,0,162.366666667,0,14,33.779915348719925,"HomeImp","Other"
"R68","1",3600,48507.0,61000.0,13.0,1,4,97.4,0,17,33.779915348719925,"DebtCon","Office"
"R69","0",3600,52337.0,63989.0,20.0,0,0,204.272498844,0,20,20.4709155078,"HomeImp","Office"
