"marital","retire","gender","tollfree","equip","callcard","wireless","multiline","voice","pager","internet","callid","callwait","forward","confer","ebill","custcat","region","tenure","age","address","income","employ","reside","longmon","tollmon","equipmon","cardmon","wiremon","longten","tollten","equipten","cardten","wireten","loglong","lninc","edNS","edN","edS","edSN","edSS","edNN"
8,4,5,"N","No","yyyy","N","no","Nooo","nn","Nooo","N",22,77,44,3,4,22,13,44,9,64,5,2,3.7,0,0,7.5,0,37.45,0,0,110,0,1.3083328197,4.1588830834,404,404,"CollegeDegree","CD","CD",404
8,4,5,"Y","No","yyyy","Y","no","Yesss","yy","Nooo","y",66,77,99,3,16,33,11,33,7,136,5,6,4.4,20.75,0,15.25,35.7,42,211.45,0,125,380.35,1.4816045409,4.9126548857,505,505,"PostUndergraduateDegree","PUD","PUD",505
8,4,10,"Y","No","yyyy","N","no","Nooo","nn","Nooo","y",66,33,99,3,12,33,68,52,24,116,29,2,18.15,18,0,30.25,0,1300.6,1247.2,0,2150,0,2.8986705607,4.7535901911,101,101,"DidnotCompleteHighSchool","DCHS","DCHS",101
3,4,10,"N","No","nnnn","N","no","Nooo","nn","Nooo","N",22,33,44,3,4,22,33,33,12,33,0,1,9.45,0,0,0,0,288.8,0,0,0,0,2.2460147415,3.4965075615,202,202,"HighSchoolDegree","HSD","HSD",202
8,4,5,"N","No","nnnn","N","no","Nooo","nn","Nooo","y",22,77,99,3,12,22,23,30,9,30,2,4,6.3,0,0,0,0,157.05,0,0,0,0,1.8405496334,3.4011973817,101,101,"DidnotCompleteHighSchool","DCHS","DCHS",101
3,4,10,"Y","No","yyyy","N","no","Nooo","nn","Nooo","y",66,33,44,3,12,22,41,39,17,78,16,1,11.8,19.25,0,13.5,0,487.4,798.4,0,570,0,2.4680995315,4.3567088267,202,202,"HighSchoolDegree","HSD","HSD",202
8,4,10,"N","No","yyyy","N","yes","Nooo","nn","Yesss","N",66,33,44,88,8,33,45,22,2,19,4,5,10.9,0,0,8.75,0,504.5,0,0,415,0,2.3887627892,2.9444389792,202,202,"HighSchoolDegree","HSD","HSD",202
3,4,5,"Y","Yes","yyyy","Y","yes","Yesss","yy","Yesss","y",66,77,99,88,16,22,38,35,5,76,10,3,6.05,45,50.1,23.25,64.9,239.55,1873.05,1820.9,880,2256.7,1.800058272,4.3307333403,202,202,"HighSchoolDegree","HSD","HSD",202
8,4,5,"Y","No","yyyy","N","yes","Nooo","nn","Nooo","y",66,77,99,3,12,33,45,59,7,166,31,5,9.75,28.5,0,12,0,449.05,1240.15,0,505,0,2.277267285,5.1119877884,404,404,"CollegeDegree","CD","CD",404
8,4,5,"N","No","yyyy","N","yes","Nooo","nn","Nooo","N",22,33,44,3,8,11,68,41,21,72,22,3,24.15,0,0,16.5,0,1659.7,0,0,1155,0,3.1842843801,4.276666119,101,101,"DidnotCompleteHighSchool","DCHS","DCHS",101
3,4,10,"N","Yes","nnnn","N","no","Nooo","yy","Yesss","N",22,33,44,88,4,22,5,33,10,125,5,1,4.85,0,26.15,0,0,17.25,0,110.1,0,0,1.5789787049,4.8283137373,404,404,"CollegeDegree","CD","CD",404
3,4,10,"Y","No","yyyy","N","no","Yesss","nn","Nooo","y",66,77,99,3,12,33,7,35,14,80,15,1,7.1,22,0,23.75,0,47.45,166.1,0,145,0,1.960094784,4.3820266347,202,202,"HighSchoolDegree","HSD","HSD",202
8,4,10,"N","No","yyyy","N","no","Nooo","nn","Nooo","N",22,33,44,3,4,11,41,38,8,37,9,3,8.55,0,0,41.75,0,308.7,0,0,1650,0,2.1459312829,3.6109179126,202,202,"HighSchoolDegree","HSD","HSD",202
8,4,10,"Y","Yes","nnnn","Y","yes","Yesss","yy","Yesss","y",66,77,99,88,16,22,57,54,30,115,23,3,15.6,46.25,46.7,0,61.05,825.35,2624.25,2590.95,0,3348.85,2.7472709143,4.7449321284,404,404,"CollegeDegree","CD","CD",404
3,4,10,"N","No","nnnn","N","no","Nooo","nn","Nooo","N",22,33,44,3,4,22,9,46,3,25,8,2,4.4,0,0,0,0,36.8,0,0,0,0,1.4816045409,3.2188758249,101,101,"DidnotCompleteHighSchool","DCHS","DCHS",101
8,4,5,"N","Yes","yyyy","N","yes","Nooo","nn","Yesss","N",22,33,44,3,8,11,29,38,12,75,1,4,5.1,0,30.25,11.25,0,146.25,0,780.8,295,0,1.6292405397,4.3174881135,505,505,"PostUndergraduateDegree","PUD","PUD",505
3,4,5,"Y","Yes","yyyy","N","yes","Nooo","nn","Nooo","y",66,77,99,3,12,33,60,57,38,162,30,1,16.15,29.75,31.3,30,0,946.9,1767.6,1788.95,1795,0,2.7819200497,5.0875963352,202,202,"HighSchoolDegree","HSD","HSD",202
3,4,10,"Y","No","nnnn","N","no","Nooo","nn","Nooo","N",66,77,99,3,12,33,34,48,3,49,6,3,6.65,18.5,0,0,0,230.8,614.3,0,0,0,1.8946168547,3.8918202981,202,202,"HighSchoolDegree","HSD","HSD",202
3,4,5,"N","No","nnnn","N","no","Nooo","nn","Nooo","N",22,33,44,3,4,22,1,24,3,20,3,1,1.05,0,0,0,0,1.05,0,0,0,0,0.0487901642,2.9957322736,101,101,"DidnotCompleteHighSchool","DCHS","DCHS",101
8,4,5,"N","Yes","yyyy","Y","yes","Yesss","nn","Yesss","y",66,77,99,88,16,11,26,29,3,77,2,4,6.7,0,48.1,24.25,38.3,140.95,0,1132.8,610,910.1,1.9021075264,4.3438054219,404,404,"CollegeDegree","CD","CD",404
3,4,10,"N","Yes","nnnn","Y","yes","Nooo","yy","Yesss","N",66,33,44,3,8,33,6,30,7,16,1,1,3.75,0,33.8,0,18.7,25.65,0,175.3,0,78.2,1.32175584,2.7725887222,303,303,"SomeCollege","SC","SC",303
8,4,5,"N","No","yyyy","N","no","Nooo","nn","Nooo","N",22,77,44,3,4,11,68,52,17,120,24,2,20.7,0,0,22,0,1391.05,0,0,1505,0,3.0301337003,4.7874917428,101,101,"DidnotCompleteHighSchool","DCHS","DCHS",101
3,4,10,"N","Yes","yyyy","Y","yes","Yesss","nn","Yesss","N",66,77,99,88,16,33,53,33,10,101,4,2,5.3,0,49.6,26.75,51.4,253.35,0,2499.8,1340,2645.15,1.6677068206,4.6151205168,505,505,"PostUndergraduateDegree","PUD","PUD",505
8,4,5,"N","No","yyyy","N","no","Nooo","nn","Nooo","N",22,33,44,3,4,33,55,48,19,67,25,3,15.05,0,0,27.25,0,810.45,0,0,1390,0,2.7113779912,4.2046926194,101,101,"DidnotCompleteHighSchool","DCHS","DCHS",101
8,4,5,"Y","No","yyyy","N","no","Nooo","nn","Nooo","y",66,77,99,3,12,33,14,43,18,36,5,5,12.5,19.75,0,18,0,153.75,273.75,0,215,0,2.5257286443,3.5835189385,101,101,"DidnotCompleteHighSchool","DCHS","DCHS",101
3,4,10,"Y","No","yyyy","N","no","Nooo","nn","Nooo","N",66,77,99,3,12,22,1,21,0,33,0,3,2.2,20.75,0,40.5,0,2.2,20.75,0,40.5,0,0.7884573604,3.4965075615,202,202,"HighSchoolDegree","HSD","HSD",202
3,4,10,"Y","Yes","yyyy","Y","yes","Yesss","nn","Yesss","y",66,33,99,88,16,22,42,40,7,37,8,1,8.25,23.5,36.9,28,37.4,399.15,950.65,1532.9,1190,1562,2.1102132003,3.6109179126,202,202,"HighSchoolDegree","HSD","HSD",202
8,4,5,"N","No","nnnn","N","yes","Nooo","nn","Nooo","y",22,77,44,3,12,33,25,33,11,31,5,4,9.1,0,0,0,0,234.95,0,0,0,0,2.2082744135,3.4339872045,101,101,"DidnotCompleteHighSchool","DCHS","DCHS",101
8,4,10,"N","No","nnnn","N","no","Nooo","nn","Nooo","y",22,33,44,3,4,11,9,21,1,17,2,3,2.9,0,0,0,0,25.25,0,0,0,0,1.064710737,2.8332133441,202,202,"HighSchoolDegree","HSD","HSD",202
8,4,10,"N","Yes","nnnn","N","yes","Nooo","nn","Yesss","N",22,33,99,88,8,22,13,33,9,19,0,2,5.55,0,27.35,0,0,75.25,0,330.65,0,0,1.7137979278,2.9444389792,404,404,"CollegeDegree","CD","CD",404
8,4,10,"N","Yes","yyyy","N","yes","Nooo","nn","Yesss","N",22,33,44,88,8,11,56,37,6,36,13,2,10.6,0,31.1,18.25,0,582.6,0,1756.35,1005,0,2.3608540011,3.5835189385,101,101,"DidnotCompleteHighSchool","DCHS","DCHS",101
8,4,5,"Y","No","yyyy","Y","yes","Yesss","nn","Yesss","N",22,77,99,88,16,11,71,53,27,155,12,2,21,56,0,34,49.95,1519.2,4064.3,0,2345,3646.9,3.0445224377,5.0434251169,505,505,"PostUndergraduateDegree","PUD","PUD",505
8,4,10,"Y","No","yyyy","N","no","Nooo","nn","Nooo","N",66,77,99,3,12,11,35,50,26,140,21,4,6.5,27.5,0,35,0,247.55,1068.25,0,1215,0,1.8718021769,4.9416424226,202,202,"HighSchoolDegree","HSD","HSD",202
8,4,5,"N","Yes","nnnn","N","yes","Nooo","nn","Yesss","N",22,33,44,3,8,11,11,27,8,55,0,3,4.8,0,19.55,0,0,54.1,0,220.4,0,0,1.5686159179,4.0073331852,505,505,"PostUndergraduateDegree","PUD","PUD",505
8,4,5,"Y","Yes","yyyy","Y","yes","Yesss","yy","Yesss","N",66,77,99,88,16,22,60,46,13,163,24,2,33.9,38.25,44.65,13.75,55.25,1947.95,2326.35,2645.85,840,3125.95,3.5234150144,5.0937502008,303,303,"SomeCollege","SC","SC",303
8,4,5,"N","Yes","nnnn","N","yes","Nooo","nn","Yesss","N",22,33,44,88,8,33,20,35,11,52,0,2,4.25,0,30.55,0,0,82.7,0,547.15,0,0,1.4469189829,3.9512437186,404,404,"CollegeDegree","CD","CD",404
3,4,5,"Y","Yes","yyyy","Y","yes","Yesss","yy","Yesss","y",22,33,99,88,16,22,54,60,38,211,25,1,21.15,39.25,46.35,54.25,54.85,1228.7,2102.25,2421.3,2785,2895.85,3.0516399055,5.3518581335,404,404,"CollegeDegree","CD","CD",404
8,4,5,"Y","No","yyyy","Y","yes","Yesss","nn","Nooo","y",66,77,99,3,12,11,44,57,1,186,17,2,9.8,33.5,0,36,41.65,428.25,1379.55,0,1535,1826.7,2.2823823857,5.2257466737,202,202,"HighSchoolDegree","HSD","HSD",202
8,4,10,"Y","No","yyyy","N","no","Yesss","nn","Nooo","y",66,77,99,3,12,11,11,41,0,39,1,2,6.55,29.25,0,19.75,0,67.8,303.65,0,200,0,1.8794650496,3.6635616461,101,101,"DidnotCompleteHighSchool","DCHS","DCHS",101
3,9,10,"Y","No","yyyy","N","yes","Nooo","nn","Nooo","y",66,77,99,3,12,22,72,57,34,22,35,1,41.75,49,0,18.75,0,3043.05,3581,0,1360,0,3.7316994513,3.0910424534,202,202,"HighSchoolDegree","HSD","HSD",202
3,4,5,"Y","No","yyyy","N","no","Nooo","nn","Nooo","y",66,77,99,3,12,33,10,41,7,30,7,1,2.5,19.25,0,53.75,0,31.25,178.2,0,490,0,0.9162907319,3.4011973817,101,101,"DidnotCompleteHighSchool","DCHS","DCHS",101
3,4,10,"Y","No","yyyy","N","no","Nooo","nn","Nooo","y",66,77,99,3,12,22,15,28,0,29,4,1,4.25,30,0,17.75,0,78,426.05,0,255,0,1.4469189829,3.36729583,202,202,"HighSchoolDegree","HSD","HSD",202
8,4,5,"N","No","nnnn","N","no","Nooo","nn","Nooo","y",22,33,44,3,4,22,27,28,4,23,8,5,6.2,0,0,0,0,180.15,0,0,0,0,1.8245492921,3.1354942159,202,202,"HighSchoolDegree","HSD","HSD",202
8,4,5,"N","Yes","nnnn","Y","yes","Yesss","yy","Yesss","N",22,33,99,88,16,11,9,36,14,62,10,6,5.65,0,46.75,0,48.5,43.3,0,386.6,0,364.85,1.7316555452,4.127134385,404,404,"CollegeDegree","CD","CD",404
8,4,10,"Y","No","yyyy","N","yes","Nooo","nn","Nooo","y",66,33,99,3,12,11,64,43,20,76,20,4,14.7,18.75,0,11,0,897.05,1279.25,0,680,0,2.6878474938,4.3307333403,404,404,"CollegeDegree","CD","CD",404
8,4,5,"N","Yes","yyyy","N","yes","Yesss","nn","Yesss","N",22,33,44,88,8,11,65,41,3,74,16,2,14.5,0,37,17,0,963.3,0,2263.05,1065,0,2.6741486494,4.3040650932,404,404,"CollegeDegree","CD","CD",404
8,4,5,"Y","No","yyyy","N","yes","Nooo","nn","Yesss","N",66,33,44,88,8,11,49,51,27,63,19,5,12.85,25.75,0,14.25,0,585.6,1278.45,0,635,0,2.5533438113,4.1431347264,404,404,"CollegeDegree","CD","CD",404
8,4,5,"N","Yes","yyyy","Y","yes","Nooo","yy","Yesss","N",66,33,99,88,16,33,47,41,0,36,8,2,7.75,0,37.45,18.5,38.8,361,0,1717.75,845,1730.4,2.0476928434,3.5835189385,404,404,"CollegeDegree","CD","CD",404
8,4,10,"N","Yes","nnnn","N","no","Nooo","nn","Nooo","N",22,33,44,3,4,33,9,34,9,33,8,4,2.95,0,22.95,0,0,18.9,0,208.55,0,0,1.0818051704,3.4965075615,202,202,"HighSchoolDegree","HSD","HSD",202
3,4,10,"Y","No","yyyy","Y","no","Nooo","nn","Yesss","y",66,77,99,88,12,11,5,36,14,29,9,1,3.25,31.5,0,15.5,26.75,16.8,154.65,0,60,98.6,1.1786549963,3.36729583,202,202,"HighSchoolDegree","HSD","HSD",202
8,4,5,"N","Yes","nnnn","N","no","Nooo","nn","Yesss","N",22,33,44,3,4,22,30,34,4,27,1,5,6.3,0,22.5,0,0,150.9,0,690.75,0,0,1.8405496334,3.295836866,202,202,"HighSchoolDegree","HSD","HSD",202
8,4,5,"N","No","yyyy","N","yes","Nooo","nn","Nooo","N",22,33,44,3,8,11,56,52,28,49,12,4,24.75,0,0,22.25,0,1349.05,0,0,1215,0,3.208825489,3.8918202981,202,202,"HighSchoolDegree","HSD","HSD",202
3,4,5,"Y","Yes","yyyy","Y","yes","Yesss","yy","Yesss","y",66,77,99,88,16,33,10,22,0,24,0,1,7.8,23.75,37.25,22.5,30.05,63,222.55,330.4,185,306.3,2.0541237337,3.1780538303,404,404,"CollegeDegree","CD","CD",404
8,4,5,"Y","No","nnnn","N","no","Nooo","nn","Nooo","N",66,33,44,3,4,11,7,26,3,26,2,5,4.85,15.5,0,0,0,33.7,136.55,0,0,0,1.5789787049,3.258096538,202,202,"HighSchoolDegree","HSD","HSD",202
3,4,5,"Y","No","yyyy","N","no","Nooo","nn","Nooo","y",22,33,44,88,4,11,52,27,6,47,5,2,6.25,18.5,0,14.25,0,330.4,942.65,0,725,0,1.8325814637,3.8501476017,303,303,"SomeCollege","SC","SC",303
8,4,10,"Y","Yes","nnnn","N","no","Nooo","yy","Yesss","y",22,33,99,3,4,22,36,45,1,94,18,5,7.2,15.75,28.35,0,0,258.75,553.8,1043.8,0,0,1.974081026,4.5432947823,202,202,"HighSchoolDegree","HSD","HSD",202
3,4,10,"N","No","nnnn","N","yes","Nooo","nn","Nooo","N",22,33,44,3,8,33,27,34,8,21,4,1,7.65,0,0,0,0,213.45,0,0,0,0,2.0347056478,3.0445224377,303,303,"SomeCollege","SC","SC",303
8,4,5,"N","No","yyyy","N","no","Nooo","nn","Nooo","N",22,33,44,3,4,11,58,62,36,27,0,2,15.5,0,0,34.5,0,967.1,0,0,1910,0,2.7408400239,3.295836866,101,101,"DidnotCompleteHighSchool","DCHS","DCHS",101
3,4,10,"Y","No","yyyy","Y","no","Nooo","nn","Nooo","y",66,77,99,3,12,22,41,52,27,30,2,1,10.4,28,0,19,27.5,447.85,1152,0,800,1036.65,2.3418058061,3.4011973817,202,202,"HighSchoolDegree","HSD","HSD",202
8,4,10,"N","Yes","yyyy","N","yes","Nooo","nn","Yesss","N",22,33,44,88,8,22,47,40,16,127,12,4,19.7,0,28.15,14.75,0,909.9,0,1319.7,680,0,2.9806186357,4.8441870865,404,404,"CollegeDegree","CD","CD",404
8,4,10,"Y","No","yyyy","N","no","Yesss","nn","Nooo","y",66,77,99,3,12,22,55,39,15,137,20,2,12.7,27.5,0,11.5,0,676.9,1505.2,0,620,0,2.5416019935,4.9199809258,202,202,"HighSchoolDegree","HSD","HSD",202
8,4,10,"Y","No","yyyy","Y","yes","Yesss","yy","Nooo","y",66,77,99,3,16,22,56,50,1,80,24,4,28.8,55.5,0,21.25,61.1,1558.1,3119.45,0,1065,3268.05,3.3603753871,4.3820266347,202,202,"HighSchoolDegree","HSD","HSD",202
3,4,5,"N","No","yyyy","N","no","Nooo","nn","Nooo","N",22,33,44,3,4,33,35,55,24,30,2,1,10.25,0,0,15.75,0,395.85,0,0,550,0,2.3272777056,3.4011973817,202,202,"HighSchoolDegree","HSD","HSD",202
8,4,10,"N","Yes","yyyy","N","yes","Nooo","yy","Yesss","y",22,33,99,3,16,22,69,51,11,438,23,2,29,0,47.05,24.75,0,1815.4,0,3064.15,1655,0,3.36729583,6.0822189104,404,404,"CollegeDegree","CD","CD",404
3,4,5,"Y","Yes","yyyy","Y","yes","Nooo","yy","Yesss","y",66,77,99,88,16,22,44,39,16,79,16,1,15.25,24.5,37.45,27.25,30.05,653.7,1037.45,1610.1,1110,1280,2.7245795031,4.3694478525,202,202,"HighSchoolDegree","HSD","HSD",202
